batch,loss,accuracy
916,"tensor(2.7605, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
917,"tensor(2.6150, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
918,"tensor(2.6602, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
919,"tensor(2.6763, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
920,"tensor(2.6871, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
921,"tensor(2.5911, device='cuda:0', grad_fn=<NllLossBackward0>)",0.374
922,"tensor(2.6747, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
923,"tensor(2.7819, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
924,"tensor(2.6150, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
925,"tensor(2.6925, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
926,"tensor(2.6306, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
927,"tensor(2.6764, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
928,"tensor(2.6294, device='cuda:0', grad_fn=<NllLossBackward0>)",0.386
929,"tensor(2.7994, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
930,"tensor(2.6605, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
931,"tensor(2.6947, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
932,"tensor(2.6817, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
933,"tensor(2.7411, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
934,"tensor(2.6946, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
935,"tensor(2.8082, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
936,"tensor(2.6932, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
937,"tensor(2.7985, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
938,"tensor(2.8321, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
939,"tensor(2.7416, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
940,"tensor(2.5843, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
941,"tensor(2.8790, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
942,"tensor(2.7820, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
943,"tensor(2.6523, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
944,"tensor(2.5937, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
945,"tensor(2.5933, device='cuda:0', grad_fn=<NllLossBackward0>)",0.373
946,"tensor(2.6790, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
947,"tensor(2.6944, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
948,"tensor(2.8145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
949,"tensor(2.7171, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
950,"tensor(2.8108, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
951,"tensor(2.5841, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
952,"tensor(2.7611, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
953,"tensor(2.6213, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
954,"tensor(2.8174, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
955,"tensor(2.7437, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
956,"tensor(2.6740, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
957,"tensor(2.6721, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
958,"tensor(2.7265, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
959,"tensor(2.8030, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
960,"tensor(2.7640, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
961,"tensor(2.6245, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
962,"tensor(2.7501, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
963,"tensor(2.6367, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
964,"tensor(2.7301, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
965,"tensor(2.7240, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
966,"tensor(2.7202, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
967,"tensor(2.5318, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
968,"tensor(2.8264, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
969,"tensor(2.8283, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
970,"tensor(2.7583, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
971,"tensor(2.7376, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
972,"tensor(2.6828, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
973,"tensor(2.6785, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
974,"tensor(2.6553, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
975,"tensor(2.6226, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
976,"tensor(2.5824, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
977,"tensor(2.7223, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
978,"tensor(2.7513, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
979,"tensor(2.7121, device='cuda:0', grad_fn=<NllLossBackward0>)",0.377
980,"tensor(2.7097, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
981,"tensor(2.7391, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
982,"tensor(2.7284, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
983,"tensor(2.6924, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
984,"tensor(2.7299, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
985,"tensor(2.6678, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
986,"tensor(2.7084, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
987,"tensor(2.7719, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
988,"tensor(2.5805, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
989,"tensor(2.6806, device='cuda:0', grad_fn=<NllLossBackward0>)",0.384
990,"tensor(2.7643, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
991,"tensor(2.8070, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
992,"tensor(2.6524, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
993,"tensor(2.7457, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
994,"tensor(2.6634, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
995,"tensor(2.6972, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
996,"tensor(2.7689, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
997,"tensor(2.5697, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
998,"tensor(2.6129, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
999,"tensor(4.8456, device='cuda:0', grad_fn=<NllLossBackward0>)",0.036
0,"tensor(2.6696, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
1,"tensor(2.6750, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
2,"tensor(2.7205, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
3,"tensor(2.7109, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
4,"tensor(2.7592, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
5,"tensor(2.6482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
6,"tensor(2.6280, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
7,"tensor(2.6368, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
8,"tensor(2.8145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
9,"tensor(2.7488, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
10,"tensor(2.6245, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
11,"tensor(2.7394, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
12,"tensor(2.6309, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
13,"tensor(2.6950, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
14,"tensor(2.6421, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
15,"tensor(2.7706, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
16,"tensor(2.6000, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
17,"tensor(2.5895, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
18,"tensor(2.6174, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
19,"tensor(2.6105, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
20,"tensor(2.7846, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
21,"tensor(2.7735, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
22,"tensor(2.6206, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
23,"tensor(2.7124, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
24,"tensor(2.8024, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
25,"tensor(2.7847, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
26,"tensor(2.7783, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
27,"tensor(2.7313, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
28,"tensor(2.6324, device='cuda:0', grad_fn=<NllLossBackward0>)",0.373
29,"tensor(2.8732, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
30,"tensor(2.8741, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
31,"tensor(2.8035, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
32,"tensor(2.7345, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
33,"tensor(2.6597, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
34,"tensor(2.7046, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
35,"tensor(2.6777, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
36,"tensor(2.6347, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
37,"tensor(2.7418, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
38,"tensor(2.7120, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
39,"tensor(2.6683, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
40,"tensor(2.7443, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
41,"tensor(2.7044, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
42,"tensor(2.5648, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
43,"tensor(2.6301, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
44,"tensor(2.7339, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
45,"tensor(2.7187, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
46,"tensor(2.7187, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
47,"tensor(2.6329, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
48,"tensor(2.7692, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
49,"tensor(2.7474, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
50,"tensor(2.7077, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
51,"tensor(2.7807, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
52,"tensor(2.7782, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
53,"tensor(2.6409, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
54,"tensor(2.7555, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
55,"tensor(2.6091, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
56,"tensor(2.7110, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
57,"tensor(2.7384, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
58,"tensor(2.7432, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
59,"tensor(2.5991, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
60,"tensor(2.7440, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
61,"tensor(2.7402, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
62,"tensor(2.6617, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
63,"tensor(2.7710, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
64,"tensor(2.5039, device='cuda:0', grad_fn=<NllLossBackward0>)",0.384
65,"tensor(2.8661, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
66,"tensor(2.6731, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
67,"tensor(2.8085, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
68,"tensor(2.6707, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
69,"tensor(2.5766, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
70,"tensor(2.6319, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
71,"tensor(2.7335, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
72,"tensor(2.6299, device='cuda:0', grad_fn=<NllLossBackward0>)",0.382
73,"tensor(2.6654, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
74,"tensor(2.7749, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
75,"tensor(2.7149, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
76,"tensor(2.7821, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
77,"tensor(2.6169, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
78,"tensor(2.6055, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
79,"tensor(2.7317, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
80,"tensor(2.5224, device='cuda:0', grad_fn=<NllLossBackward0>)",0.384
81,"tensor(2.7637, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
82,"tensor(2.6828, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
83,"tensor(2.5935, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
84,"tensor(2.6230, device='cuda:0', grad_fn=<NllLossBackward0>)",0.369
85,"tensor(2.6347, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
86,"tensor(2.8581, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
87,"tensor(2.7638, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
88,"tensor(2.6106, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
89,"tensor(2.7579, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
90,"tensor(2.6865, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
91,"tensor(2.7080, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
92,"tensor(2.5979, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
93,"tensor(2.6857, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
94,"tensor(2.6393, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
95,"tensor(2.7466, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
96,"tensor(2.6733, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
97,"tensor(2.6633, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
98,"tensor(2.6673, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
99,"tensor(2.7328, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
100,"tensor(2.6510, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
101,"tensor(2.7961, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
102,"tensor(2.6284, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
103,"tensor(2.6805, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
104,"tensor(2.6585, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
105,"tensor(2.5326, device='cuda:0', grad_fn=<NllLossBackward0>)",0.389
106,"tensor(2.6511, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
107,"tensor(2.6018, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
108,"tensor(2.6553, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
109,"tensor(2.7074, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
110,"tensor(2.6739, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
111,"tensor(2.7406, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
112,"tensor(2.6438, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
113,"tensor(2.6231, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
114,"tensor(2.5886, device='cuda:0', grad_fn=<NllLossBackward0>)",0.375
115,"tensor(2.7026, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
116,"tensor(2.7546, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
117,"tensor(2.6986, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
118,"tensor(2.6315, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
119,"tensor(2.5605, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
120,"tensor(2.7723, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
121,"tensor(2.6028, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
122,"tensor(2.6970, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
123,"tensor(2.6125, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
124,"tensor(2.5324, device='cuda:0', grad_fn=<NllLossBackward0>)",0.388
125,"tensor(2.7492, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
126,"tensor(2.4939, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
127,"tensor(2.6862, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
128,"tensor(2.6303, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
129,"tensor(2.5552, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
130,"tensor(2.6063, device='cuda:0', grad_fn=<NllLossBackward0>)",0.382
131,"tensor(2.5421, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
132,"tensor(2.5829, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
133,"tensor(2.6643, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
134,"tensor(2.7038, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
135,"tensor(2.5698, device='cuda:0', grad_fn=<NllLossBackward0>)",0.376
136,"tensor(2.7046, device='cuda:0', grad_fn=<NllLossBackward0>)",0.373
137,"tensor(2.6601, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
138,"tensor(2.7895, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
139,"tensor(2.5294, device='cuda:0', grad_fn=<NllLossBackward0>)",0.384
140,"tensor(2.6413, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
141,"tensor(2.6443, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
142,"tensor(2.7184, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
143,"tensor(2.6092, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
144,"tensor(2.4605, device='cuda:0', grad_fn=<NllLossBackward0>)",0.373
145,"tensor(2.6500, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
146,"tensor(2.8037, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
147,"tensor(2.6252, device='cuda:0', grad_fn=<NllLossBackward0>)",0.369
148,"tensor(2.6423, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
149,"tensor(2.7061, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
150,"tensor(2.6373, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
151,"tensor(2.5940, device='cuda:0', grad_fn=<NllLossBackward0>)",0.379
152,"tensor(2.6743, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
153,"tensor(2.6934, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
154,"tensor(2.5715, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
155,"tensor(2.6539, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
156,"tensor(2.7167, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
157,"tensor(2.6054, device='cuda:0', grad_fn=<NllLossBackward0>)",0.393
158,"tensor(2.6279, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
159,"tensor(2.7315, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
160,"tensor(2.6685, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
161,"tensor(2.7085, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
162,"tensor(2.7063, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
163,"tensor(2.7284, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
164,"tensor(2.7227, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
165,"tensor(2.7317, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
166,"tensor(2.5305, device='cuda:0', grad_fn=<NllLossBackward0>)",0.384
167,"tensor(2.5408, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
168,"tensor(2.6292, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
169,"tensor(2.5757, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
170,"tensor(2.7500, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
171,"tensor(2.7185, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
172,"tensor(2.6775, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
173,"tensor(2.6243, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
174,"tensor(2.7247, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
175,"tensor(2.5842, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
176,"tensor(2.6257, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
177,"tensor(2.6080, device='cuda:0', grad_fn=<NllLossBackward0>)",0.378
178,"tensor(2.5749, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
179,"tensor(2.6934, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
180,"tensor(2.7958, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
181,"tensor(2.6758, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
182,"tensor(2.6527, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
183,"tensor(2.6947, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
184,"tensor(2.6443, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
185,"tensor(2.5562, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
186,"tensor(2.6695, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
187,"tensor(2.6281, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
188,"tensor(2.7825, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
189,"tensor(2.7032, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
190,"tensor(2.5938, device='cuda:0', grad_fn=<NllLossBackward0>)",0.383
191,"tensor(2.6560, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
192,"tensor(2.5896, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
193,"tensor(2.6327, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
194,"tensor(2.5579, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
195,"tensor(2.7095, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
196,"tensor(2.6258, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
197,"tensor(2.6018, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
198,"tensor(2.6790, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
199,"tensor(2.5919, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
200,"tensor(2.7823, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
201,"tensor(2.6348, device='cuda:0', grad_fn=<NllLossBackward0>)",0.379
202,"tensor(2.6444, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
203,"tensor(2.7515, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
204,"tensor(2.6533, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
205,"tensor(2.4734, device='cuda:0', grad_fn=<NllLossBackward0>)",0.376
206,"tensor(2.8736, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
207,"tensor(4.9659, device='cuda:0', grad_fn=<NllLossBackward0>)",0.10614525139664804
0,"tensor(2.7897, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
1,"tensor(2.9474, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
2,"tensor(2.7501, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
3,"tensor(2.8570, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
4,"tensor(2.9328, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
5,"tensor(2.8116, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
6,"tensor(2.8812, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
7,"tensor(2.8988, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
8,"tensor(3.1067, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
9,"tensor(2.9482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
10,"tensor(2.9976, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
11,"tensor(2.9331, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
12,"tensor(2.8453, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
13,"tensor(2.9913, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
14,"tensor(2.9316, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
15,"tensor(3.0227, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
16,"tensor(2.9089, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
17,"tensor(2.8949, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
18,"tensor(2.8956, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
19,"tensor(3.0083, device='cuda:0', grad_fn=<NllLossBackward0>)",0.297
20,"tensor(2.9872, device='cuda:0', grad_fn=<NllLossBackward0>)",0.283
21,"tensor(2.9459, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
22,"tensor(2.9890, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
23,"tensor(2.9334, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
24,"tensor(2.8962, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
25,"tensor(3.0236, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
26,"tensor(2.8482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
27,"tensor(3.0662, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
28,"tensor(2.9793, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
29,"tensor(3.0503, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
30,"tensor(2.8223, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
31,"tensor(2.9232, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
32,"tensor(2.9099, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
33,"tensor(3.0858, device='cuda:0', grad_fn=<NllLossBackward0>)",0.276
34,"tensor(3.0133, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
35,"tensor(2.8991, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
36,"tensor(2.8409, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
37,"tensor(2.9606, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
38,"tensor(2.7350, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
39,"tensor(2.8487, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
